Year,Month,Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average travel time (min),Average delay of late departing trains (min),Average delay of all departing trains (min),% trains late due to external causes,% trains late due to railway infrastructure,% trains late due to traffic management,% trains late due to passenger traffic,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Average delay of late arriving trains (min)
2019,7,-0.12442411425770122,-0.3768005640420334,1.6174234991585266,-0.43335728328879214,-0.8351061648262403,-0.046892543089588484,-0.10682235098207916,-0.6678367352602508,0.5680848261467698,2.4390880395803967,-0.10682235098207891,-0.6678367352602511,0.5680848261467698,-0.7050334872838303
2019,7,-0.15630988857532851,-0.3768005640420334,1.4524850378659648,0.11009590256782616,-0.37114904036516305,0.687973513295714,-0.4194341530135149,-0.06737527822419134,0.5110824999873768,0.14098335993636654,-0.4194341530135147,-0.06737527822419176,0.5110824999873765,-0.40612017565964437
2019,7,1.0744810000850844,-0.13866519453638118,4.154938288274862,-1.2979708487504522,-0.811130735672508,0.09670632226425742,-0.6584902369221144,0.43543327750164695,0.4976701879474585,0.6529516114720865,-0.6584902369221134,0.43543327750164673,0.4976701879474584,-1.0272134401694601
2019,7,-0.9725857111065868,-0.3768005640420334,0.47554184405617544,0.07041553063345331,-0.9566476633004931,-0.214371717686598,-0.7079988933511868,-0.6433835537528579,0.2655340180563111,0.7126886157571534,-0.7079988933511866,-0.6433835537528583,0.2655340180563111,-0.870710231309114
2019,7,0.8767891993157952,-0.18629226843751162,2.797367876097623,-1.2368474795862674,-0.4759652846401847,0.48035675419444895,-0.515622399794823,-0.8390090058183579,1.4231197185718656,0.17107311024263278,-0.5156223997948226,-0.8390090058183582,1.4231197185718654,-0.9433092471671856
2019,7,-0.4879219414786522,-0.3768005640420334,0.7546684708589724,1.2416508177051242,-0.7461474096795799,-0.011553074827692918,-0.04893127653343418,0.49776491663664185,0.20707009378798702,-0.6413501480265076,-0.04893127653343377,0.4977649166366422,0.2070700937879868,1.0494179504805148
2019,7,-0.4624133220245504,-0.3768005640420334,0.28522823487245025,1.2250866361510784,-0.7193592322154165,-0.20947554105838875,0.701656447377669,0.1323725492753695,-0.8412485482641086,-0.034367253916590616,0.7016564473776699,0.13237254927536898,-0.8412485482641089,0.9249375212873672
2019,7,0.3602396553702334,-0.3768005640420334,2.2264270485464475,-1.0118703928573702,-0.33393597509187567,0.7755209348010469,-0.16934471138836638,-0.47710191949495784,-0.2185472748843183,-0.6413501480265076,-0.16934471138836607,-0.47710191949495817,-0.21854727488431855,0.31666203462011233
2019,7,-0.2838529858458376,-0.09103812063525074,1.604735925212945,-1.4980791254010277,-0.7297505188838002,0.23717919401757037,0.35290088730128294,-0.6865362270045641,-0.10588385376678813,-0.6413501480265076,0.35290088730128344,-0.6865362270045645,-0.10588385376678836,-0.3016343639867915
2019,7,-0.5516934901139068,-0.23391934233864206,-0.006585965875928361,-1.240702940292069,-0.06595242998953325,0.28175708888814394,-1.253065625097136,0.07390977049578558,0.05506389069171237,-0.6413501480265076,-1.253065625097135,0.07390977049578507,0.05506389069171211,-0.5190102885714654
2019,7,0.13066208028331697,2.7665863134325757,1.6681737949408533,0.2554476701953592,-0.40105657810579853,0.8952229359967053,-0.5269995042484581,0.019218783894094,1.2613066636646928,-0.26280167643094476,-0.5269995042484571,0.01921878389409349,1.2613066636646928,-0.1103935161396938
2019,7,-0.3922646185257703,-0.3768005640420334,0.5262921398385022,1.6676673315501687,-0.44495469529210524,0.22762951358511205,0.31946646997101535,-0.46554223369215664,-0.06930482093499989,0.1587636669355246,0.31946646997101596,-0.4655422336921569,-0.06930482093500001,1.098266590315515
2019,7,-1.6230555071861832,-0.3768005640420334,-0.7551528286652475,1.5203044038625817,-0.9040654625140954,-0.349514254161791,-3.4706882038486133e-16,0.0,0.0,0.0,0.0,-2.2587539633094987e-16,0.0,0.0
2019,7,0.3283538810526061,2.7665863134325757,1.9726755696348137,-0.7110459472765915,-0.4566361093656406,0.765115511339265,-0.7136570255111154,-0.2751474086868916,1.5840674630303657,-0.2271735849870273,-0.7136570255111151,-0.2751474086868919,1.5840674630303662,-0.4884142046247805
2019,7,-0.035143946168344854,-0.0434110467341203,0.5136045658929205,0.5850834300106333,-0.5037869740414458,-0.19845826808754496,-0.03468116590078746,-0.7411962797824291,0.4760041454209099,0.17107311024263278,-0.03468116590078707,-0.7411962797824294,0.4760041454209099,0.018950027357103598
2019,7,-0.5516934901139068,1.718790687607706,-0.5394640715903589,0.8102082847830101,9.710254167235147,3.268365622911524,-0.5331111719351739,-0.46554223369215664,1.174382295318441,-0.6413501480265076,-0.5331111719351735,-0.4655422336921569,1.174382295318441,0.264776807427866
2019,7,-0.07978403021302305,5.957600264808315,0.37404125249152204,0.3049760278246853,-0.7416207824793776,0.1148801996265904,-0.0026184169695164386,-0.7738005217986439,1.4231197185718656,0.5321501139195648,-0.0026184169695162717,-0.7738005217986441,1.4231197185718654,-0.08030841782296454
2019,7,1.8014766545269862,0.4328596922771842,1.3890471681380563,-0.5756523329696475,-0.3845540462852616,-0.030593091635807226,-0.8362498890575135,-0.3499453756514291,-0.6289640232483642,-0.6413501480265076,-0.8362498890575132,-0.3499453756514295,-0.6289640232483645,-0.20235784786013572
2019,7,2.107580087976208,1.5759094659043145,5.157256629975815,-0.5677644402155159,-0.7513232582127649,0.16631249220942498,-0.5012391105573731,0.16105755755343776,0.09342059614962017,0.18119676455180714,-0.5012391105573728,0.16105755755343723,0.09342059614962016,-0.4940010954607718
