Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),% trains late due to external causes,% trains late due to railway infrastructure,% trains late due to traffic management,% trains late due to rolling stock,% trains late due to station management and reuse of material,% trains late due to passenger traffic,Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Period,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account,ClusterIndex
2019,7.0,2,39,0.1279305481182611,247.0,0.0,0.32318104906937395,0.011310838657122813,0.5757799979744194,0.17446808510638298,0.21144615287669416,0.8594394764450268,0.25,0.15,0.275,0.125,0.025,0.175,0.109375,0.4015405752277074,0.07692307692307693,0.05405405405405406,2019-07,25.0,15.0,27.500000000000004,12.5,2.5,17.5,3
2019,7.0,39,19,0.18614523458395657,242.0,0.0,0.3011844331641286,0.030933502528258775,0.5865915528651711,0.2,0.2254018067377549,0.8610412554287663,0.2,0.244444444444,0.266666666667,0.244444444444,0.0,0.0444444444443999,0.18229166666666666,0.3991238834334574,0.15384615384615385,0.05405405405405406,2019-07,20.0,24.4444444444,26.6666666667,24.4444444444,0.0,4.44444444444,2
2019,7.0,23,39,0.03531317290129576,435.0,0.017921146953405017,0.6615905245346869,0.01232485862286081,0.5778926646318772,0.3872340425531915,0.1964042269115579,0.8579950530421355,0.1617647058819999,0.323529411765,0.264705882353,0.147058823529,0.0294117647059,0.0735294117646999,0.15625,0.4265427274711773,0.14285714285714288,0.10810810810810811,2019-07,16.1764705882,32.3529411765,26.470588235300003,14.705882352899998,2.9411764705900003,7.35294117647,2
2019,7.0,48,39,0.18189467451527175,114.0,0.0,0.17089678510998307,0.00617034647538345,0.5733159975304201,0.06382978723404255,0.20371104305545146,0.8568834911378005,0.153846153846,0.153846153846,0.230769230769,0.3846153846149999,0.0,0.0769230769231,0.041666666666666664,0.38732588958556086,0.02197802197802198,0.0,2019-07,15.3846153846,15.3846153846,23.0769230769,38.4615384615,0.0,7.692307692310001,2
2019,7.0,39,49,0.04186070609131882,404.0,0.014336917562724014,0.4805414551607445,0.026500390455601774,0.5835370370554404,0.31063829787234043,0.2003215428339199,0.8575382674726537,0.184615384615,0.123076923077,0.4,0.1692307692309999,0.0769230769231,0.0461538461538,0.14583333333333331,0.41401978067069534,0.13186813186813187,0.08108108108108109,2019-07,18.4615384615,12.3076923077,40.0,16.9230769231,7.692307692310001,4.615384615380001,2
2019,7.0,39,53,0.30735735794211105,190.0,0.0,0.2081218274111675,0.015073271991162606,0.5762999221124355,0.11914893617021277,0.2933579180250564,0.8651743912411428,0.259259259259,0.3333333333329999,0.222222222222,0.185185185185,0.0,0.0,0.14583333333333331,0.4397765441083905,0.14285714285714288,0.10810810810810811,2019-07,25.925925925900003,33.333333333300004,22.2222222222,18.5185185185,0.0,0.0,3
2019,7.0,53,39,0.30558300338715577,194.0,0.0,0.1455160744500846,0.016206254705266213,0.5733880314499497,0.12340425531914893,0.2875461802578204,0.865148077742169,0.3793103448279999,0.275862068966,0.0689655172414,0.206896551724,0.0344827586207,0.0344827586207,0.15104166666666666,0.43516901803578933,0.14285714285714288,0.10810810810810811,2019-07,37.9310344828,27.5862068966,6.896551724139999,20.6896551724,3.44827586207,3.44827586207,3
2019,7.0,37,30,0.06596024383759999,323.0,0.0,0.40439932318104904,0.03250739682360033,0.5878795750086954,0.22127659574468087,0.25914703637904507,0.8599615713640435,0.24,0.18,0.16,0.26,0.16,0.0,0.14583333333333331,0.475760979389475,0.17582417582417584,0.2972972972972973,2019-07,24.0,18.0,16.0,26.0,16.0,0.0,3
2019,7.0,37,45,0.013877581230153417,222.0,0.021505376344086023,0.32148900169204736,0.015766764255110585,0.5799593407974534,0.15319148936170213,0.23028003652677015,0.8592972362380967,0.323529411765,0.147058823529,0.176470588235,0.235294117647,0.117647058824,0.0,0.09375,0.4411015032993777,0.1208791208791209,0.13513513513513514,2019-07,32.3529411765,14.705882352899998,17.6470588235,23.5294117647,11.7647058824,0.0,3
2019,7.0,40,13,0.04144770927391076,180.0,0.010752688172043012,0.1065989847715736,0.04384152825793683,0.5806151832508087,0.1276595744680851,0.22013119723705052,0.8565614143232649,0.0666666666666999,0.266666666667,0.2,0.2,0.266666666667,0.0,0.09375,0.40858275179613274,0.1098901098901099,0.08108108108108109,2019-07,6.666666666669999,26.6666666667,20.0,20.0,26.6666666667,0.0,2
